# word	pronunciation
1.0	イッテンゼロ
ODF	オーディーエフ
OKE	オーケーイー
OS	オーエス
OSD	オーエスディー
OSS	オーエスエス
OTA	オーティーエー
Object	オブジェクト
Open	オープン
OpenID	オープンアイディー
OpenJDK	オープンジェイディーケー
OpenSCAP	オープンエスキャップ
OpenShift	オープンシフト
OpenStack	オープンスタック
Operator	オペレータ
OperatorHub	オペレータハブ
OperatorHub.io	オペレータハブドットアイオー
Optimization	オプティマイゼーション
Oracle	オラクル
OracleJDK	オラクルジェイディーケー
Outposts	アウトポスツ
PAM	パム
PCI-DSS	ピーシーアイディーエスエス
PV	ピーブイ
PaaS	パーズ
Persistent	パーシステント
Platform	プラットフォーム
PoC	ピーオーシー
Pod	ポッド
Preview	プレビュー
Proactive	プロアクティブ
Process	プロセス
Provisioning	プロビジョニング
QE	キューイー
Quay	クエイ
RBAC	アールバック
RDBMS	アールディービーエムエス
REST	レスト
RHACS	アールエッチエーシーエス
RHDM	アールエッチディーエム
RHEL	レル
RHEL10	レルテン
RHEL6	レルシックス
RHEL7	レルセブン
RHEL8	レルエイト
RHEL9	レルナイン
RHGS	アールエッチジーエス
RHUA	ルア
RHUI	ルイ
ROI	アールオーアイ
ROSA	ローザ
RPA	アールピーエー
RWO(ReadWriteOnce)	リードライトワンス
RWX(ReadWriteMany)	リードライトメニー
Red	レッド
Registry	レジストリ
Root	ルート
Rule	ルール
S/4	エスフォー
SAP	エスエーピー
SDS	エスディーエス
SELinux	エスイーリナックス
SI	エスアイ
SIer	エスアイアー
SLA	エスエルエー
SMTP	エスエムティーピー
SNMP	エスエヌエムピー
SOA	エスオーエー
SP800-190	エスピーハッピャクヒャクキュウジュウ
SRE	エスアールイー
SaaS	サーズ
Seldon	セルダン
Server	サーバー
Serverless	サーバレス
ServiceNow	サービスナウ
Sidecar	サイドカー
Snapshot	スナップショット
SoE	エスオーイー
SoR	エスオーアール
Spark	スパーク
StackRox	スタックロックス
Storage	ストレージ
Streams	ストリームス
Strimzi	ストリムジー
Supermicro	スーパーマイクロ
SystemWalker	システムウォーカー
Technology	テクノロジー
Tensorflow	テンサーフロー
Terraform	テラフォーム
Trap	トラップ
UBI	ユービーアイ
VPN	ブイピーエヌ
VSCode	ブイエスコード
Virtualization	バーチャライゼーション
Volume	ボリューム
WHO	ダブリュエッチオー
Web	ウェブ
WebLogic	ウェブロジック
WebSphere	ウェブスフィアー
Worker	ワーカー
Workspaces	ワークスペース
XML	エックスエムエル
YAML	ヤムル
Zabbix	ザビックス
Zookeeper	ズーキーパー
a	ア
abi	エービーアイ
ansible	アンシブル
apache	アパッチ
as	アズ
aus	エーユーエス
bugzilla	バグジラ
centos	セントオーエス
codeready	コードレディ
corosync	コロシンク
cron	クーロン
eus	イーユーエス
exida	エクシーダ
fork	フォーク
glusterfs	グラスターエフエス
ha	エッチエー
hat	ハット
hotfix	ホットフィックス
iPaaS	アイパース
jBPM	ジェイビーピーエム
json	ジェイソン
keepalived	キープアライブド
keycloak	キークローク
kubernetes	クバネティス
lexicon-generate	レキシコンジェネレイト
lexicon2dic	レキシコンツーディーアイシー
metal	メタル
nginx	エンジンエックス
openshift	オープンシフト
openstack	オープンスタック
ota	オーティーエー
party	パーティー
passwd	パスワード
qe	キューイー
rbac	アールバック
red	レッド
rpm-ostree	アールピーエムオーエスツリー
serverless	サーバレス
sla	エスエルエー
slide2mp4	スライドツーエムピーフォー
syslog	シスログ
terraform	テラフォーム
tomcat	トムキャット
tuned	チューンディ
ubi	ユービーアイ
vSphere	ブイスフィア
virtualization	バーチャライゼーション
x86_64	エックスハチロクロクヨン
得る	える
一人	ひとり
根本	こんぽん
赤色	あかいろ
閾値	しきいち
同期的	どうきてき
実作業	じつさぎょう
宣言的	せんげんてき
横展開	よこてんかい
立役者	たてやくしゃ
ドライブ間	どらいぶかん
空ファイル	からファイル
お使いの方	おつかいのかた
働き方改革	はたらきかたかいかく
